EmployeeId,FirstName,MiddleName,LastName,Initials,Sex,Language,PhoneNumber,EmailAddress,LoginName,AddressId,StartDate,EndDate,Currency,SalaryAmount,AccountNumber,BankId,BankName,EmployeePicURL,ManagerId,OrgUnitId
"0000000011","John",,"Nicols",,"M","E",,"john.nicols@itelo.info","DMM161_NICOLSJ","1000000012","2000-01-01","9999-12-31","USD","61579.00","87654321","0066665555","My Bank of London","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_7_NicolsJ.jpg","0000000022","0000000013"
"0000000028","Peter",,"Fuchs",,"M","E",,"peter.fuchs@itelo.info","DMM161_FUCHSP","1000000029","2000-01-01","9999-12-31","USD","71344.00","65432109","0066665555","My Bank of London","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_20_FuchsP.jpg","0000000023","0000000015"
"0000000013","Joanne",,"Rush",,"F","E",,"joanne.rush@itelo.info","DMM161_RUSHJ","1000000014","2000-01-01","9999-12-31","USD","70000.00","345678901","0099999888","Deutsches Geldinstitut","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_1_RushJ.jpg","0000000022","0000000012"
"0000000002","Susan",,"Summer",,"F","E",,"susan.summer@itelo.info","DMM161_SUMMERS","1000000003","2000-01-01","9999-12-31","USD","76239.00","9988776655","0121000358","My Bank of San Francisco","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_7_SummerS.jpg","0000000016","0000000011"
"0000000006","John",,"Dash",,"M","E",,"john.dash@itelo.info","DMM161_DASHJ","1000000007","2000-01-01","9999-12-31","USD","72691.00","5544332211","0121000358","My Bank of San Francisco","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_11_DashJ.jpg","0000000016","0000000011"
"0000000016","Hermann",,"Hecker",,"M","E",,"hermann.hecker@itelo.info","DMM161_HECKERH","1000000017","2000-01-01","9999-12-31","USD","39874.00","123456789","0099999888","Deutsches Geldinstitut","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_16_HeckerH.jpg","0000000022","0000000011"
"0000000012","John",,"Smith",,"M","E",,"john.smith@itelo.info","DMM161_SMITHJO","1000000013","2000-01-01","9999-12-31","USD","60350.00","98765432","0066665555","My Bank of London","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_3_SmithJo.jpg","0000000015","0000000010"
"0000000015","James",,"Field",,"M","E","+1 224 374 526","james.field@itelo.info","DMM161_FIELDJ","1000000016","2000-01-01","9999-12-31","USD","76395.00","32109876","0066665555","My Bank of London","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_5_FieldJ.jpg","0000000021","0000000010"
"0000000001","Sally",,"Spring",,"F","E","+1 224 374 524","sally.spring@itelo.info","DMM161_SPRINGS","1000000002","2000-01-01","9999-12-31","USD","55549.00","111222333","0510000655","My Bank of Antioch","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_8_SpringS.jpg","0000000009","0000000005"
"0000000009","Paul",,"Burke",,"M","E","+1 224 374 523","paul.burke@itelo.info","DMM161_BURKEP","1000000010","2000-01-01","9999-12-31","USD","100491.00","333444555","0510000655","My Bank of Antioch","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_4_BurkeP.jpg","0000000019","0000000005"
"0000000005","Maria",,"Hicks",,"F","E",,"maria.hicks@itelo.info","DMM161_HICKSM","1000000006","2000-01-01","9999-12-31","USD","49876.00","1122334455","0026005885","My Bank of New York","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_10_HicksM.jpg","0000000008","0000000006"
"0000000008","Randy",,"Gordon",,"M","E",,"randy.gordon@itelo.info","DMM161_GORDONR","1000000009","2000-01-01","9999-12-31","USD","81463.00","2233445566","0026005885","My Bank of New York","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_10_GordonR.jpg","0000000019","0000000006"
"0000000021","Megan",,"Wang",,"F","E",,"megan.wang@itelo.info","DMM161_WANGM","1000000022","2000-01-01","9999-12-31","USD","57985.00","54321098","0066665555","My Bank of London","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_4_WangM.jpg","0000000022","0000000007"
"0000000014","Sue",,"Bay",,"F","E","+1 224 374 525","sue.bay@itelo.info","DMM161_BAYSU","1000000015","2000-01-01","9999-12-31","USD","98631.00","0099887766","0121000358","My Bank of San Francisco","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/female_6_BaySu.jpg","0000000018","0000000004"
"0000000018","Al",,"Wallace",,"M","E",,"al.wallace@itelo.info","DMM161_WALLACEA","1000000019","2000-01-01","9999-12-31","USD","55426.00","1100998877","0121000358","My Bank of San Francisco","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_13_WallaceA.jpg","0000000019","0000000004"
"0000000017","Rudolf",,"Platte",,"M","E",,"rudolf.platte@itelo.info","DMM161_PLATTER","1000000018","2000-01-01","9999-12-31","USD","45983.00","234567890","0099999888","Deutsches Geldinstitut","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_15_PlatteR.jpg","0000000020","0000000008"
"0000000020","James",,"Smith",,"M","E",,"james.smith@itelo.info","DMM161_SMITHJ","1000000021","2000-01-01","9999-12-31","USD","38761.00","456789012","0099999888","Deutsches Geldinstitut","/SAP/PUBLIC/BC/NWDEMO_MODEL/IMAGES/male_14_SmithJ.jpg","0000000021","0000000008"
